	title	link	source	salary_min	salary_max
107	Ведущий аналитик	https://spb.hh.ru/vacancy/51028842	hh.ru		
108	Аналитик отдела контроля качества	https://spb.hh.ru/vacancy/50954298	hh.ru		
109	Аналитик-исследователь отдела развития	https://spb.hh.ru/vacancy/50510503	hh.ru		
110	Аналитик бизнес-процессов	https://spb.hh.ru/vacancy/51324366	hh.ru	51750	
111	Аналитик департамента маркетинга	https://spb.hh.ru/vacancy/51784437	hh.ru		
112	Бизнес-аналитик	https://spb.hh.ru/vacancy/36705054	hh.ru		
113	Аналитик	https://spb.hh.ru/vacancy/51301518	hh.ru		
114	Продуктовый аналитик	https://spb.hh.ru/vacancy/49689503	hh.ru		
115	Финансовый аналитик P&L	https://spb.hh.ru/vacancy/51703065	hh.ru		
116	Аналитик-экономист e-commerce	https://spb.hh.ru/vacancy/51149610	hh.ru		
117	Менеджер по продажам аналитики	https://spb.hh.ru/vacancy/50997060	hh.ru		
118	Бизнес-аналитик (Внедрение CRM Битрикс24; Удаленно)	https://spb.hh.ru/vacancy/50863342	hh.ru		
119	Стажер-аналитик (ERP системы)	https://spb.hh.ru/vacancy/51792891	hh.ru		
120	Стажер-Аналитик	https://spb.hh.ru/vacancy/50116410	hh.ru		
121	Аналитик по ценообразованию	https://spb.hh.ru/vacancy/43002208	hh.ru		
122	Аналитик BI	https://spb.hh.ru/vacancy/51499946	hh.ru		
123	Аналитик коммерческой деятельности	https://spb.hh.ru/vacancy/50335459	hh.ru		
124	Аналитик	https://spb.hh.ru/vacancy/51415032	hh.ru		
125	Аналитик по работе с маркетплейсами Wildberries; Ozon (удаленно)	https://spb.hh.ru/vacancy/51716543	hh.ru	50000	
126	Аналитик данных (блок данных)	https://spb.hh.ru/vacancy/51705198	hh.ru		
127	Аналитик / no-code специалист	https://spb.hh.ru/vacancy/50740206	hh.ru		
128	Аналитик данных	https://spb.hh.ru/vacancy/51633518	hh.ru		
129	Data-analyst	https://spb.hh.ru/vacancy/51765086	hh.ru		
130	Аналитик-стажер	https://spb.hh.ru/vacancy/51689392	hh.ru		30000
131	Системный аналитик (Аудиоаналитика)	https://spb.hh.ru/vacancy/50308031	hh.ru		
132	Аналитик товарной категории	https://spb.hh.ru/vacancy/51710996	hh.ru		
133	Специалист - аналитик	https://spb.hh.ru/vacancy/50210161	hh.ru		
134	Товарный аналитик	https://spb.hh.ru/vacancy/51107494	hh.ru		
135	Младший бизнес-аналитик	https://spb.hh.ru/vacancy/51811299	hh.ru		
136	Data analyst	https://spb.hh.ru/vacancy/51003578	hh.ru		
137	Системный аналитик	https://spb.hh.ru/vacancy/51359765	hh.ru		
138	Практикант продуктовый аналитик	https://spb.hh.ru/vacancy/51499199	hh.ru	45000	
139	Аналитик данных	https://spb.hh.ru/vacancy/48871180	hh.ru		
